Omega	Efficiency
0.06667	0.07935
0.07333	0.16272
0.08000	0.23220
0.08667	0.29099
0.09333	0.34138
0.10000	0.38505
0.10667	0.42327
0.11333	0.45698
0.12000	0.48695
0.12667	0.51377
0.13333	0.53790
0.14000	0.55974
0.14667	0.57959
0.15333	0.59771
0.16000	0.61433
0.16667	0.62961
0.17333	0.64372
0.18000	0.65678
0.18667	0.66892
0.19333	0.68021
0.20000	0.69075
0.20667	0.70061
0.21333	0.70985
0.22000	0.71854
0.22667	0.72671
0.23333	0.73442
0.24000	0.74169
0.24667	0.74858
0.25333	0.75510
0.26000	0.76129
0.26667	0.76717
0.27333	0.77276
0.28000	0.77808
0.28667	0.78316
0.29333	0.78801
0.30000	0.79264
0.30667	0.79707
0.31333	0.80131
0.32000	0.80537
0.32667	0.80927
0.33333	0.81301
0.34000	0.81661
0.34667	0.82006
0.35333	0.82339
0.36000	0.82659
0.36667	0.82968
0.37333	0.83266
0.38000	0.83553
0.38667	0.83830
0.39333	0.84098
0.40000	0.84357
0.40667	0.84608
0.41333	0.84850
0.42000	0.85085
0.42667	0.85312
0.43333	0.85532
0.44000	0.85746
0.44667	0.85953
0.45333	0.86154
0.46000	0.86350
0.46667	0.86540
0.47333	0.86724
0.48000	0.86903
0.48667	0.87078
0.49333	0.87247
0.50000	0.87412
0.50667	0.87573
0.51333	0.87730
0.52000	0.87882
0.52667	0.88031
0.53333	0.88176
0.54000	0.88318
0.54667	0.88456
0.55333	0.88590
0.56000	0.88722
0.56667	0.88850
0.57333	0.88975
0.58000	0.89098
0.58667	0.89217
0.59333	0.89334
0.60000	0.89449
0.60667	0.89561
0.61333	0.89670
0.62000	0.89777
0.62667	0.89882
0.63333	0.89985
0.64000	0.90085
0.64667	0.90183
0.65333	0.90280
0.66000	0.90374
0.66667	0.90467
0.67333	0.90557
0.68000	0.90646
0.68667	0.90733
0.69333	0.90819
0.70000	0.90903
0.70667	0.90985
0.71333	0.91066
0.72000	0.91145
0.72667	0.91223
0.73333	0.91299
0.74000	0.91374
0.74667	0.91448
0.75333	0.91520
0.76000	0.91591
0.76667	0.91661
0.77333	0.91730
0.78000	0.91797
0.78667	0.91864
0.79333	0.91929
0.80000	0.91993
0.80667	0.92056
0.81333	0.92118
0.82000	0.92179
0.82667	0.92239
0.83333	0.92298
0.84000	0.92356
0.84667	0.92413
0.85333	0.92470
0.86000	0.92525
0.86667	0.92580
0.87333	0.92633
0.88000	0.92686
0.88667	0.92738
0.89333	0.92790
0.90000	0.92840
0.90667	0.92890
0.91333	0.92939
0.92000	0.92988
0.92667	0.93035
0.93333	0.93082
0.94000	0.93129
0.94667	0.93174
0.95333	0.93220
0.96000	0.93264
0.96667	0.93308
0.97333	0.93351
0.98000	0.93394
0.98667	0.93436
0.99333	0.93477
1.00000	0.93518
